,Outlet,String,Label,R.E.1,R.E.2,R.E.3,R.E.4,R.E.5,R.E.tag,TagLabel
0,221,"edu/faculty/kfoury/CS520-Fall96/prob11.html"">   # 11</A>, 		<!WA21><A href=""http:/",1,0,0,1,0,1,oooooooooooooooooooyyyyyoooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooyyyyyoooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
1,108,"Length: 2618Last-Modified: Thu, 14 Nov 1996 17:38:59 GMT<HTML><HEAD><TITLE>Compute",0,1,0,0,0,1,oooooooooooooooooooooooooooooooooooyyyyyyyoooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
2,109,"tmlContent-length: 4272Last-modified: Mon, 04 Nov 1996 19:58:01 GMT<BODY BACKGROUND=",0,1,0,0,0,1,ooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
3,458,"REF=""http://www.cs.uidaho.edu/~billjunk/courses/cs482/schedule96.html""><H3>Schedule",0,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
4,452,Mr. Huican Zhu (Discussion Session W 11:00am - 11:50am)<DT> Office: Building (trai,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
5,492,"A1><A HREF=""http://www.cs.uiowa.edu/~sriram/16fall96/syllabus.html"">plain text</A>",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
6,573,"html"">Discussion questions</A> </UL>     <LI> <!WA87><A HREF=""http://www.csc.ncsu.",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
7,78,"-Communications/1.1Date: Tuesday, 14-Jan-97 20:14:07 GMTLast-modified: Sunday, 03-",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
8,208, <Body bgcolor= #FFF8DC><P><H2><A NAME=SECTION00001000000000000000> CS 330 (Algorith,1,1,0,0,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyoooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyoooooooooo
9,115,"ay, 20-Nov-96 21:56:34 GMTLast-modified: Tuesday, 03-Sep-96 15:26:20 GMTContent-le",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
10,519,"un from years gone by</font></i></h2><ul><h4> <!WA21><A href=""http://www.cs.unc.ed",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
11,477,<A HREF=http://www.cs.uiowa.edu/~cremer/courses/cs21/solutions/obst.C>obst.C</A>.<,0,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyoooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
