,Outlet,String,Label,R.E.1,R.E.2,R.E.3,R.E.4,R.E.5,R.E.6,R.E.tag,TagLabel
0,5,oduced in Senate (IS)]        108th CONGRES,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
1,225,"to carry out this section $30,000,000 for e",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
2,429,aterways by the year          2010;         ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
3,371,"tion 2004(c)(2) of Public Law 111-148), (x)",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
4,520,      consistent with section 604.         ,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
5,315,"orized to be  appropriated $5,000,000 for e",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
6,7,         INTERVENTION  ``SEC. 251. DEFINITI,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
7,163,CATIVE PROGRAMS.      Section 2322 of the Fo,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
8,59,of the Older Americans Act of 1965 (42 U.S.C,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
9,501,d out under this title.  SEC. 1612. IMMUNITY,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
10,422,nsurance Trust Fund.''.  SEC. 7173. TRANSFER,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
11,393,", as authorized  by 42 U.S.C. 1484 and 1486,",0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
12,440,"each of fiscal years 2008 and 2009, $8,000,0",0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
13,559,00 for each of calendar years 2000          ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
14,7,trol and Safe Streets Act  of 1968 (42 U.S.C,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
15,555,"g ``2,000'' and inserting ``3,000''.  SEC. ",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
16,252,"n  10 percent.             14,000 pounds.  ",0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
17,422,ion.-- Section 422 (20 U.S.C. 1072) is amend,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
18,220,ec. 501. Effective date. Sec. 502. Interim ,0,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
19,501,          pursuant to section 1212(a)(4).   ,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
20,65," lieu thereof ``December 1 of 1993, 1994,   ",0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
21,7,"Trust Fund, $3,000,000.  SEC. 1617. NATIONAL",0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
22,175,(3) Subsection (c) of section 4221 of such C,0,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooo
